	favorite_count	retweet_count	timestamp	rating_numerator	rating_denominator	dog_type	breed	confidence	names	likeability
667174963120574464	241	83	2015-11-19 02:58:01+00:00	9	10		Toy Poodle	0.266437	Clarence	18002.7
667176164155375616	610	464	2015-11-19 03:02:47+00:00	4	10		Soft-Coated Wheaten Terrier	0.318981		113216.0
667177989038297088	191	55	2015-11-19 03:10:02+00:00	8	10		Vizsla	0.25924899999999995		8404.0
667188689915760640	741	416	2015-11-19 03:52:34+00:00	10	10		Unidentifiable	0.0		308256.0
667192066997374976	385	108	2015-11-19 04:05:59+00:00	12	10		Rottweiler	0.28364		49896.0
667211855547486208	492	242	2015-11-19 05:24:37+00:00	9	10		Golden Retriever	0.462556	Genevieve	107157.6
667369227918143488	363	164	2015-11-19 15:49:57+00:00	10	10		Unidentifiable	0.0		59532.0
667393430834667520	193	55	2015-11-19 17:26:08+00:00	8	10		Papillon	0.557009	Fwed	8492.0
667405339315146752	464	220	2015-11-19 18:13:27+00:00	7	10		Saint Bernard	0.381377	Biden	71455.99999999999
667435689202614272	303	84	2015-11-19 20:14:03+00:00	12	10		Rottweiler	0.999091		30542.399999999998
667437278097252352	448	239	2015-11-19 20:20:22+00:00	10	10		Unidentifiable	0.0		107072.0
667443425659232256	776	582	2015-11-19 20:44:47+00:00	6	10		Unidentifiable	0.0		270979.19999999995
667453023279554560	310	91	2015-11-19 21:22:56+00:00	11	10		Labrador Retriever	0.8256700000000001	Cupcake	31031.0
667455448082227200	190	60	2015-11-19 21:32:34+00:00	7	10		Tibetan Terrier	0.676376	Reese	7980.0
667470559035432960	256	100	2015-11-19 22:32:36+00:00	11	10		Toy Poodle	0.304175		28160.000000000004
667491009379606528	531	230	2015-11-19 23:53:52+00:00	7	10		Borzoi	0.852088		85491.0
667509364010450944	6785	2145	2015-11-20 01:06:48+00:00	12	10		Beagle	0.636169		17464590.0
667517642048163840	366	193	2015-11-20 01:39:42+00:00	8	10		Italian Greyhound	0.125176	Dook	56510.4
667524857454854144	1699	1116	2015-11-20 02:08:22+00:00	12	10		Chesapeake Bay Retriever	0.08812239999999999		2275300.8
667530908589760512	466	241	2015-11-20 02:32:25+00:00	10	10		Golden Retriever	0.633037	Naphaniel	112306.0
667534815156183040	815	543	2015-11-20 02:47:56+00:00	8	10		Pembroke	0.435254	Frank	354036.0
667538891197542400	202	65	2015-11-20 03:04:08+00:00	9	10		Yorkshire Terrier	0.618957		11817.0
667544320556335104	865	530	2015-11-20 03:25:43+00:00	10	10		Pomeranian	0.412893	Kial	458450.0
667549055577362432	5809	2307	2015-11-20 03:44:31+00:00	1	10		Unidentifiable	0.0		1340136.3
667728196545200128	378	152	2015-11-20 15:36:22+00:00	11	10		Kuvasz	0.360159	Olive	63201.6
667766675769573376	441	219	2015-11-20 18:09:16+00:00	9	10		Unidentifiable	0.0	Calvin	86921.1
667782464991965184	409	246	2015-11-20 19:12:01+00:00	9	10		Unidentifiable	0.0		90552.6
667793409583771648	698	335	2015-11-20 19:55:30+00:00	8	10		Dalmatian	0.5350729999999999		187064.0
667801013445750784	329	97	2015-11-20 20:25:43+00:00	12	10		Flat-Coated Retriever	0.508392		38295.6
667806454573760512	1056	499	2015-11-20 20:47:20+00:00	10	10		Chihuahua	0.187155	Filup	526944.0
667832474953625600	291	63	2015-11-20 22:30:44+00:00	12	10		Miniature Pinscher	0.2142		21999.6
667861340749471744	242	78	2015-11-21 00:25:26+00:00	9	10		Malamute	0.967275		16988.4
667866724293877760	3010	1046	2015-11-21 00:46:50+00:00	10	10		Unidentifiable	0.0	Shaggy	3148460.0
667873844930215936	628	412	2015-11-21 01:15:07+00:00	10	10		Unidentifiable	0.0		258736.0
667886921285246976	1896	1110	2015-11-21 02:07:05+00:00	11	10		Pomeranian	0.8004319999999999	Erik	2315016.0000000005
667902449697558528	854	381	2015-11-21 03:08:47+00:00	9	10		Norwegian Elkhound	0.298881	Cleopatricia	292836.60000000003
667911425562669056	494	308	2015-11-21 03:44:27+00:00	5	10		Unidentifiable	0.0		76076.0
668113020489474048	671	246	2015-11-21 17:05:31+00:00	6	10		Pembroke	0.548896	Alfie	99039.59999999999
668142349051129856	571	287	2015-11-21 19:02:04+00:00	2	10		Unidentifiable	0.0		32775.4
668154635664932864	501	321	2015-11-21 19:50:53+00:00	9	10		Unidentifiable	0.0		144738.90000000002
668171859951755264	496	199	2015-11-21 20:59:20+00:00	7	10		Chihuahua	0.664834		69092.8
668190681446379520	657	199	2015-11-21 22:14:07+00:00	12	10		Blenheim Spaniel	0.958402	Skittles	156891.6
668221241640230912	514	200	2015-11-22 00:15:33+00:00	10	10		Chow	0.395101		102800.0
668226093875376128	301	105	2015-11-22 00:34:50+00:00	10	10		Unidentifiable	0.0		31605.0
668237644992782336	6248	2897	2015-11-22 01:20:44+00:00	10	10		Chow	0.8093199999999999	Torque	18100456.0
668248472370458624	999	498	2015-11-22 02:03:45+00:00	8	10		Chihuahua	0.7345470000000001	Bisquick	398001.60000000003
668256321989451776	1313	628	2015-11-22 02:34:57+00:00	13	10		Pembroke	0.0944294	Jareld	1071933.2
668268907921326080	557	242	2015-11-22 03:24:58+00:00	10	10		Pembroke	0.48483		134794.0
668274247790391296	829	234	2015-11-22 03:46:11+00:00	10	10		Soft-Coated Wheaten Terrier	0.406374	Sophie	193986.0
668286279830867968	506	139	2015-11-22 04:33:59+00:00	11	10		Golden Retriever	0.215944	Rusty	77367.40000000001
668291999406125056	245	32	2015-11-22 04:56:43+00:00	10	10		Unidentifiable	0.0		7840.0
668297328638447616	622	300	2015-11-22 05:17:54+00:00	9	10		Eskimo Dog	0.0327838		167940.00000000003
668466899341221888	886	525	2015-11-22 16:31:42+00:00	4	10		Unidentifiable	0.0		186060.00000000003
668496999348633600	419	135	2015-11-22 18:31:19+00:00	8	10		Staffordshire Bullterrier	0.412879	Jo	45252.00000000001
668507509523615744	330	110	2015-11-22 19:13:05+00:00	10	10		Basenji	0.0553794		36300.0
668528771708952576	463	232	2015-11-22 20:37:34+00:00	12	10		Labrador Retriever	0.195835	Gòrdón	128899.20000000001
668542336805281792	461	220	2015-11-22 21:31:28+00:00	10	10		American Staffordshire Terrier	0.267695		101420.0
668544745690562560	519	232	2015-11-22 21:41:02+00:00	10	10		Unidentifiable	0.0		120408.0
668567822092664832	247	57	2015-11-22 23:12:44+00:00	11	10		Shih-Tzu	0.985649	Marvin	15486.900000000003
668614819948453888	616	318	2015-11-23 02:19:29+00:00	7	10		Unidentifiable	0.0		137121.6
668620235289837568	204	43	2015-11-23 02:41:01+00:00	10	10		Unidentifiable	0.0	Kallie	8772.0
668623201287675904	1439	785	2015-11-23 02:52:48+00:00	10	10		Chihuahua	0.708163	Jomathan	1129615.0
668625577880875008	390	138	2015-11-23 03:02:14+00:00	10	10		Groenendael	0.0544548	Maks	53820.0
668627278264475648	321	118	2015-11-23 03:09:00+00:00	9	10		French Bulldog	0.965403	Timofy	34090.200000000004
668631377374486528	723	324	2015-11-23 03:25:17+00:00	5	10		Miniature Schnauzer	0.904549	Zeek	117126.0
668636665813057536	1050	497	2015-11-23 03:46:18+00:00	10	10		Komondor	0.999956		521850.0
668641109086707712	1083	548	2015-11-23 04:03:57+00:00	10	10		Pug	0.146311	Hanz	593484.0
668655139528511488	538	222	2015-11-23 04:59:42+00:00	11	10		Beagle	0.31911	Winifred	131379.6
668779399630725120	707	377	2015-11-23 13:13:28+00:00	10	10		Chesapeake Bay Retriever	0.285508	Kevon	266539.0
668815180734689280	578	275	2015-11-23 15:35:39+00:00	7	10		Redbone	0.461172		111264.99999999999
668826086256599040	438	140	2015-11-23 16:18:59+00:00	10	10		Malinois	0.640185	Banditt	61320.0
668852170888998912	458	171	2015-11-23 18:02:38+00:00	11	10		Golden Retriever	0.903529	Bobb	86149.80000000002
668872652652679168	531	306	2015-11-23 19:24:02+00:00	11	10		Miniature Schnauzer	0.0355366	Amélie	178734.6
668902994700836864	321	102	2015-11-23 21:24:36+00:00	11	10		Brittany Spaniel	0.828425	Lambeau	36016.200000000004
668960084974809088	709	243	2015-11-24 01:11:27+00:00	10	10		Chesapeake Bay Retriever	0.165878	Jaycob	172287.0
668979806671884288	805	355	2015-11-24 02:29:49+00:00	12	10		Golden Retriever	0.608537	Chaz	342930.0
668981893510119424	543	314	2015-11-24 02:38:07+00:00	4	10		Unidentifiable	0.0		68200.8
668986018524233728	558	172	2015-11-24 02:54:30+00:00	9	10		Chihuahua	0.00563972	Ruby	86378.4
668988183816871936	903	479	2015-11-24 03:03:06+00:00	7	10		Unidentifiable	0.0		302775.89999999997
668989615043424256	687	334	2015-11-24 03:08:48+00:00	3	10		Pug	0.917326	Bernie	68837.4
668994913074286592	443	235	2015-11-24 03:29:51+00:00	5	10		English Springer	0.0897633		52052.5
669000397445533696	21061	6486	2015-11-24 03:51:38+00:00	11	10		Pembroke	0.82294	Terrance	150261810.60000002
669006782128353280	582	255	2015-11-24 04:17:01+00:00	12	10		Chihuahua	0.127178	Tucker	178092.0
669015743032369152	745	381	2015-11-24 04:52:37+00:00	10	10		Unidentifiable	0.0		283845.0
669037058363662336	662	320	2015-11-24 06:17:19+00:00	10	10		Chihuahua	0.803528		211840.0
669203728096960512	1012	488	2015-11-24 17:19:36+00:00	9	10		Pug	0.910452	Samsom	444470.4
669214165781868544	442	170	2015-11-24 18:01:05+00:00	10	10		Unidentifiable	0.0	Jaspers	75140.0
669324657376567296	501	213	2015-11-25 01:20:08+00:00	11	10		Cardigan	0.131544	Ralf	117384.3
669327207240699904	580	119	2015-11-25 01:30:16+00:00	13	10		Golden Retriever	0.919584		89726.0
669328503091937280	1025	424	2015-11-25 01:35:25+00:00	12	10		Siberian Husky	0.424202	Kirk	521520.0
669354382627049472	2735	1293	2015-11-25 03:18:15+00:00	8	10		Chihuahua	0.97399	Dug	2829084.0
669359674819481600	371	127	2015-11-25 03:39:17+00:00	11	10		Labrador Retriever	0.367818	Saydee	51828.700000000004
669371483794317312	499	184	2015-11-25 04:26:12+00:00	10	10		Brabancon Griffon	0.483268	Oliviér	91816.0
669375718304980992	1344	744	2015-11-25 04:43:02+00:00	6	10		Airedale	0.168762	Billl	599961.6
669393256313184256	369	78	2015-11-25 05:52:43+00:00	10	10		Cocker Spaniel	0.359843	Ronduh	28782.0
669571471778410496	1603	1037	2015-11-25 17:40:53+00:00	7	10		Unidentifiable	0.0	Keith	1163617.7
669573570759163904	439	143	2015-11-25 17:49:14+00:00	10	10		West Highland White Terrier	0.946828	Linda	62777.0
669583744538451968	1505	942	2015-11-25 18:29:39+00:00	6	10		Unidentifiable	0.0		850626.0
669597912108789760	515	152	2015-11-25 19:25:57+00:00	10	10		Eskimo Dog	0.595665	Skye	78280.0
669603084620980224	953	367	2015-11-25 19:46:30+00:00	10	10		Maltese Dog	0.659619		349751.0
669625907762618368	3556	1846	2015-11-25 21:17:12+00:00	12	10		Golden Retriever	0.0554081	Penny	7877251.199999999
669661792646373376	808	449	2015-11-25 23:39:47+00:00	5	10		Unidentifiable	0.0		181396.0
669680153564442624	670	295	2015-11-26 00:52:45+00:00	8	10		Dalmatian	0.141257	Shawwn	158120.0
669683899023405056	391	112	2015-11-26 01:07:38+00:00	10	10		Pomeranian	0.998275	Kloey	43792.0
669749430875258880	270	65	2015-11-26 05:28:02+00:00	8	10		Unidentifiable	0.0	Clarence	14040.0
669753178989142016	823	408	2015-11-26 05:42:55+00:00	10	10		Pembroke	0.8584940000000001	Chester	335784.0
669923323644657664	234	58	2015-11-26 16:59:01+00:00	10	10		Unidentifiable	0.0		13572.0
669942763794931712	509	168	2015-11-26 18:16:16+00:00	11	10		Vizsla	0.743216	Andru	94063.20000000001
669970042633789440	306	62	2015-11-26 20:04:40+00:00	10	10		Miniature Pinscher	0.734744	Julio	18972.0
669972011175813120	449	163	2015-11-26 20:12:29+00:00	10	10		Unidentifiable	0.0		73187.0
670003130994700288	336	95	2015-11-26 22:16:09+00:00	10	10		Beagle	0.375313	Raphael	31920.0
670040295598354432	763	114	2015-11-27 00:43:49+00:00	10	10		Borzoi	0.0266596		86982.0
670055038660800512	674	337	2015-11-27 01:42:24+00:00	3	10		Unidentifiable	0.0	Tommy	68141.4
670073503555706880	1588	806	2015-11-27 02:55:47+00:00	10	10		Malamute	0.6018859999999999	Winston	1279928.0
670086499208155136	704	258	2015-11-27 03:47:25+00:00	10	10		German Short-Haired Pointer	0.273492		181632.0
670093938074779648	1034	340	2015-11-27 04:16:59+00:00	9	10		Toy Poodle	0.383346	Wally	316404.0
670290420111441920	712	292	2015-11-27 17:17:44+00:00	11	10		Chihuahua	0.368876	Sandra	228694.40000000002
670303360680108032	432	139	2015-11-27 18:09:09+00:00	9	10		Shetland Sheepdog	0.380278		54043.200000000004
670319130621435904	3894	1245	2015-11-27 19:11:49+00:00	11	10		Irish Terrier	0.254856		5332833.000000001
670361874861563904	329	69	2015-11-27 22:01:40+00:00	9	10		Unidentifiable	0.0		20430.9
670374371102445568	749	275	2015-11-27 22:51:19+00:00	12	10		English Springer	0.974936	Daisy	247170.0
670385711116361728	564	216	2015-11-27 23:36:23+00:00	8	10		Whippet	0.178027	Larry	97459.20000000001
670403879788544000	436	161	2015-11-28 00:48:35+00:00	10	10		Pug	0.8022229999999999	Nigel	70196.0
670408998013820928	561	229	2015-11-28 01:08:55+00:00	10	10		Unidentifiable	0.0	Peanut	128469.0
670417414769758208	573	322	2015-11-28 01:42:22+00:00	6	10		Unidentifiable	0.0		110703.6
670420569653809152	632	321	2015-11-28 01:54:54+00:00	10	10		Unidentifiable	0.0	Damon	202872.0
670421925039075328	1316	645	2015-11-28 02:00:17+00:00	12	10		Chihuahua	0.275793	Herb	1018584.0
670428280563085312	1394	639	2015-11-28 02:25:32+00:00	11	10		Chow	0.335269	Willy	979842.6000000001
670433248821026816	330	114	2015-11-28 02:45:17+00:00	10	10		Giant Schnauzer	0.0622148	Sam	37620.0
670434127938719744	1414	659	2015-11-28 02:48:46+00:00	11	10		Chesapeake Bay Retriever	0.027351	Hank	1025008.6000000001
670435821946826752	1063	527	2015-11-28 02:55:30+00:00	10	10		Basenji	0.135767		560201.0
670442337873600512	647	202	2015-11-28 03:21:24+00:00	11	10		Sussex Spaniel	0.403552	Koda	143763.40000000002
670444955656130560	6784	2021	2015-11-28 03:31:48+00:00	10	10		English Springer	0.403698	Paull	13710464.0
670449342516494336	1204	677	2015-11-28 03:49:14+00:00	5	10		Unidentifiable	0.0		407554.0
670452855871037440	554	210	2015-11-28 04:03:11+00:00	11	10		Malamute	0.08037949999999999		127974.00000000001
670474236058800128	1537	776	2015-11-28 05:28:09+00:00	10	10		Unidentifiable	0.0		1192712.0
670676092097810432	251	44	2015-11-28 18:50:15+00:00	8	10		Dandie Dinmont	0.6761020000000001	Bloo	8835.2
670679630144274432	755	290	2015-11-28 19:04:19+00:00	8	10		Ibizan Hound	0.34273400000000004	Pluto	175160.0
670717338665226240	1221	505	2015-11-28 21:34:09+00:00	12	10		Pomeranian	0.368161		739926.0
670755717859713024	447	114	2015-11-29 00:06:39+00:00	9	10		Keeshond	0.994065	Gin	45862.200000000004
670778058496974848	330	74	2015-11-29 01:35:26+00:00	10	10		Pug	0.776612		24420.0
670780561024270336	793	294	2015-11-29 01:45:22+00:00	7	10		Labrador Retriever	0.244889	Traviss	163199.39999999997
670786190031921152	609	205	2015-11-29 02:07:44+00:00	8	10		Pembroke	0.12743800000000002	Creg	99876.00000000001
670789397210615808	669	246	2015-11-29 02:20:29+00:00	9	10		Beagle	0.295966		148116.6
670803562457407488	347	88	2015-11-29 03:16:46+00:00	10	10		Basenji	0.34410100000000005		30536.0
670804601705242624	1987	977	2015-11-29 03:20:54+00:00	10	10		Pomeranian	0.86856	Mason	1941299.0
670807719151067136	1170	500	2015-11-29 03:33:17+00:00	11	10		Old English Sheepdog	0.958035	Andy	643500.0
670811965569282048	1142	275	2015-11-29 03:50:10+00:00	10	10		Basset	0.99409	Maggie	314050.0
670815497391357952	3209	1568	2015-11-29 04:04:12+00:00	10	10		American Staffordshire Terrier	0.919714	Sage	5031712.0
670822709593571328	619	99	2015-11-29 04:32:51+00:00	10	10		Chihuahua	0.00125152		61281.0
670823764196741120	784	197	2015-11-29 04:37:03+00:00	12	10		Labrador Retriever	0.947453	Remington	185337.59999999998
670826280409919488	5601	4139	2015-11-29 04:47:03+00:00	2	10		Unidentifiable	0.0		4636507.8
670832455012716544	741	224	2015-11-29 05:11:35+00:00	10	10		Malinois	0.31760700000000003	Amy	165984.0
670838202509447168	1124	710	2015-11-29 05:34:25+00:00	4	10		Unidentifiable	0.0		319216.0
670840546554966016	598	198	2015-11-29 05:43:44+00:00	10	10		Shih-Tzu	0.963622	Colby	118404.0
670842764863651840	24824	8897	2015-11-29 05:52:33+00:00	420	10		Unidentifiable	0.0		9276083376.0
670995969505435648	1113	299	2015-11-29 16:01:20+00:00	12	10		Redbone	0.8662209999999999		399344.39999999997
671115716440031232	1374	792	2015-11-29 23:57:10+00:00	6	10		Malinois	0.406341	Phred	652924.7999999999
671122204919246848	3519	2570	2015-11-30 00:22:57+00:00	4	10		Chihuahua	0.101228		3617532.0000000005
671134062904504320	756	199	2015-11-30 01:10:04+00:00	8	10		Shih-Tzu	0.18038	Clarence	120355.20000000001
671138694582165504	929	412	2015-11-30 01:28:28+00:00	10	10		Samoyed	0.587342		382748.0
671159727754231808	377	84	2015-11-30 02:52:03+00:00	5	10		Unidentifiable	0.0	Anthony	15834.0
671163268581498880	1676	1131	2015-11-30 03:06:07+00:00	8	10		Scottish Deerhound	0.0269829		1516444.8000000003
671166507850801152	885	358	2015-11-30 03:18:59+00:00	10	10		Unidentifiable	0.0	Herm	316830.0
671182547775299584	1133	352	2015-11-30 04:22:44+00:00	12	10		Rottweiler	0.331179		478579.19999999995
671186162933985280	740	218	2015-11-30 04:37:05+00:00	10	10		Chihuahua	0.319106	Sparky	161320.0
671347597085433856	962	438	2015-11-30 15:18:34+00:00	9	10		Unidentifiable	0.0	Lola	379220.4
671355857343524864	485	116	2015-11-30 15:51:24+00:00	10	10		Miniature Poodle	0.313811	Lou	56260.0
671357843010908160	402	150	2015-11-30 15:59:17+00:00	9	10		Italian Greyhound	0.831757		54270.0
671362598324076544	1121	299	2015-11-30 16:18:11+00:00	11	10		Unidentifiable	0.0	Tanner	368696.9
671390180817915904	1432	747	2015-11-30 18:07:47+00:00	7	10		Unidentifiable	0.0		748792.7999999999
671485057807351808	764	235	2015-12-01 00:24:48+00:00	11	10		Samoyed	0.627901	Penelope	197494.00000000003
671486386088865792	581	208	2015-12-01 00:30:04+00:00	10	10		German Shepherd	0.8270350000000001	Malcolm	120848.0
671488513339211776	1021	479	2015-12-01 00:38:31+00:00	8	10		Unidentifiable	0.0	Julius	391247.2
671511350426865664	1626	740	2015-12-01 02:09:16+00:00	8	10		Unidentifiable	0.0	Hammond	962592.0000000001
671518598289059840	961	297	2015-12-01 02:38:04+00:00	9	10		Lakeland Terrier	0.428275	Scruffers	256875.3
671533943490011136	1033	591	2015-12-01 03:39:03+00:00	6	10		Unidentifiable	0.0		366301.8
671536543010570240	1185	419	2015-12-01 03:49:23+00:00	9	10		Pug	0.537652	Reginald	446863.5
671542985629241344	1099	574	2015-12-01 04:14:59+00:00	10	10		Shetland Sheepdog	0.980339	JD	630826.0
671547767500775424	1363	608	2015-12-01 04:33:59+00:00	10	10		Unidentifiable	0.0	Marley	828704.0
671561002136281088	12922	7373	2015-12-01 05:26:34+00:00	13	10		Gordon Setter	0.4693729999999999		123856077.80000001
671735591348891648	1463	773	2015-12-01 17:00:19+00:00	11	10		Irish Wolfhound	0.06307819999999999	Oscar	1243988.9000000001
671743150407421952	745	236	2015-12-01 17:30:22+00:00	11	10		Toy Poodle	0.4194270000000001		193402.00000000003
671744970634719232	1358	787	2015-12-01 17:37:36+00:00	6	10		Unidentifiable	0.0		641247.6
671763349865160704	1700	946	2015-12-01 18:50:38+00:00	9	10		Unidentifiable	0.0	Mark	1447380.0
671768281401958400	1200	536	2015-12-01 19:10:13+00:00	10	10		Chihuahua	0.500373		643200.0
671789708968640512	7122	3561	2015-12-01 20:35:22+00:00	13	10		Dalmatian	0.114259		32969874.6
671866342182637568	1130	510	2015-12-02 01:39:53+00:00	10	10		Labrador Retriever	0.8756139999999999	Dylan	576300.0
671874878652489728	1255	569	2015-12-02 02:13:48+00:00	10	10		Unidentifiable	0.0	Mia	714095.0
671879137494245376	1438	697	2015-12-02 02:30:43+00:00	5	10		Unidentifiable	0.0	Brad	501143.0
671896809300709376	8546	4245	2015-12-02 03:40:57+00:00	10	10		Chow	0.243529	Lola	36277770.0
672082170312290304	947	374	2015-12-02 15:57:30+00:00	11	10		Toy Poodle	0.123962	Patch	389595.8
672095186491711488	1009	374	2015-12-02 16:49:14+00:00	9	10		Pug	0.794087	Tuco	339629.4
672125275208069120	2429	1166	2015-12-02 18:48:47+00:00	11	10		Golden Retriever	8.67567e-05		3115435.4
672160042234327040	882	365	2015-12-02 21:06:56+00:00	8	10	pupper	Pug	0.561027	Bubba	257544.0
672169685991993344	1029	376	2015-12-02 21:45:16+00:00	10	10		Cocker Spaniel	0.991011	Bradley	386904.0
672205392827572224	2286	1179	2015-12-03 00:07:09+00:00	9	10	pupper	Pug	0.00326691	Opal	2425674.6
672222792075620352	791	215	2015-12-03 01:16:17+00:00	9	10		Beagle	0.958178	Cal	153058.5
672239279297454080	903	329	2015-12-03 02:21:48+00:00	7	10		Pug	0.332536	Ridley	207960.89999999997
672245253877968896	693	162	2015-12-03 02:45:32+00:00	12	10		Chihuahua	0.7189439999999999	Snickers	134719.2
672248013293752320	1735	625	2015-12-03 02:56:30+00:00	10	10		Irish Terrier	0.413173		1084375.0
672254177670729728	1446	758	2015-12-03 03:21:00+00:00	11	10	pupper	Pug	0.979487	Rolf	1205674.8
672475084225949696	1444	715	2015-12-03 17:58:48+00:00	8	10		Unidentifiable	0.0	Buddy	825968.0
672481316919734272	724	128	2015-12-03 18:23:34+00:00	12	10	pupper	Border Collie	0.599454	Jazz	111206.4
672488522314567680	1125	447	2015-12-03 18:52:12+00:00	10	10		Doberman	0.605358	Jackie	502875.0
672523490734551040	648	175	2015-12-03 21:11:09+00:00	10	10		Golden Retriever	0.5659810000000001		113400.0
672538107540070400	1039	373	2015-12-03 22:09:14+00:00	7	10		Chihuahua	0.160274	Darby	271282.89999999997
672591271085670400	735	188	2015-12-04 01:40:29+00:00	8	10		Unidentifiable	0.0		110544.0
672594978741354496	1343	621	2015-12-04 01:55:13+00:00	9	10	pupper	Great Pyrenees	0.755945	Scott	750602.7000000001
672604026190569472	1123	405	2015-12-04 02:31:10+00:00	11	10		Toy Poodle	0.8201579999999999		500296.50000000006
672609152938721280	1126	399	2015-12-04 02:51:33+00:00	9	10		Unidentifiable	0.0	Caryl	404346.6
672614745925664768	1231	598	2015-12-04 03:13:46+00:00	6	10	pupper	Unidentifiable	0.0	Norman	441682.8
672640509974827008	981	328	2015-12-04 04:56:09+00:00	9	10		Chesapeake Bay Retriever	0.420155	Leonidas	289591.2
672828477930868736	1266	504	2015-12-04 17:23:04+00:00	9	10		Unidentifiable	0.0	Jerry	574257.6000000001
672884426393653248	1565	849	2015-12-04 21:05:23+00:00	6	10		Unidentifiable	0.0		797211.0
672902681409806336	1380	516	2015-12-04 22:17:55+00:00	9	10		Unidentifiable	0.0	Jimison	640872.0
